doc,A_sent_id,A_speaker,A_text,A_sound_url,A_tokens,A_pos_tags,B_sent_id,B_speaker,B_text,B_sound_url,B_tokens,B_pos_tags,B_token_count,B_has_verbal_bc,B_all_in_lexicon,first_token_form,first_token_lemma,first_token_upos,first_token_deprel,backchannel_type,A_is_question,A_continues,warnings,keep?
Gos018,Gos018.s308,Lm-ucen-01096,"pa niso muzeji , samo tako v naravi .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s308.mp3,pa niso muzeji samo tako v naravi,CCONJ VERB NOUN PART ADV ADP NOUN,Gos018.s309,Mf-prof-01097,"mhm , pa še živijo notri ?",https://nl.ijs.si/project/gos20/Gos018/Gos018.s309.mp3,mhm pa še živijo notri,INTJ CCONJ PART VERB ADV,5,0,0,mhm,mhm,INTJ,discourse,continuer,0,1,not_all_in_lexicon; a_continues,
Gos018,Gos018.s309,Mf-prof-01097,"mhm , pa še živijo notri ?",https://nl.ijs.si/project/gos20/Gos018/Gos018.s309.mp3,mhm pa še živijo notri,INTJ CCONJ PART VERB ADV,Gos018.s310,Lm-ucen-01096,"ne , je že",https://nl.ijs.si/project/gos20/Gos018/Gos018.s310.mp3,ne je že,PART VERB PART,3,0,0,ne,ne,PART,discourse,surprise,1,1,a_is_question; not_all_in_lexicon; a_continues,
Gos018,Gos018.s310,Lm-ucen-01096,"ne , je že",https://nl.ijs.si/project/gos20/Gos018/Gos018.s310.mp3,ne je že,PART VERB PART,Gos018.s311,Mf-prof-01097,"aja , torej propada , propada , propada , nihče ne živi .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s311.mp3,aja torej propada propada propada nihče ne živi,INTJ CCONJ VERB VERB VERB PRON PART VERB,8,0,0,aja,aja,INTJ,discourse,responsive,0,0,not_all_in_lexicon,
Gos018,Gos018.s313,Mf-prof-01097,mhm .,https://nl.ijs.si/project/gos20/Gos018/Gos018.s313.mp3,mhm,INTJ,Gos018.s314,Lm-ucen-01096,"ja , pa cerkvica je tam še .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s314.mp3,ja pa cerkvica je tam še,PART CCONJ NOUN VERB ADV PART,6,0,0,ja,ja,PART,discourse,responsive,0,1,not_all_in_lexicon; a_continues,
Gos018,Gos018.s317,Nm-ucen-01098,"takšna ena , eee , z blata hiša .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s317.mp3,takšna ena eee z blata hiša,DET DET INTJ ADP NOUN NOUN,Gos018.s318,Em-ucen-01089,"ja , pa poleg",https://nl.ijs.si/project/gos20/Gos018/Gos018.s318.mp3,ja pa poleg,PART CCONJ ADP,3,0,0,ja,ja,PART,discourse,responsive,0,0,not_all_in_lexicon,
Gos042,Gos042.s92,Cf-gost-02095,"da bi skupaj pripravili tak zakonski predlog , ki bi potem držal vodo , če s- lahko tako rečem .",https://nl.ijs.si/project/gos20/Gos042/Gos042.s92.mp3,da bi skupaj pripravili tak zakonski predlog ki bi potem držal vodo če s- lahko tako rečem,SCONJ AUX ADV VERB DET ADJ NOUN SCONJ AUX ADV VERB NOUN SCONJ X ADV ADV VERB,Gos042.s93,Am-novi-02093,mhm .,https://nl.ijs.si/project/gos20/Gos042/Gos042.s93.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,0,ok,
Gos051,Gos051.s259,Jf-ucen-07133,"pač , ko o nje- o neki ženski govori , a ne .",https://nl.ijs.si/project/gos20/Gos051/Gos051.s259.mp3,pač ko o nje- o neki ženski govori a ne,PART SCONJ ADP X ADP DET NOUN VERB ADV PART,Gos051.s261,Af-prof-07124,"ja , govori o neki ženski , a je ta žens- , ampak kako govori o neki ženski , ne da jo zdaj , ne vem , opisuje , predstavlja , označuje , ampak kako govori o njej , da je z njo nekoč doživel neko prijetno",https://nl.ijs.si/project/gos20/Gos051/Gos051.s261.mp3,ja govori o neki ženski a je ta žens- ampak kako govori o neki ženski ne da jo zdaj ne vem opisuje predstavlja označuje ampak kako govori o njej da je z njo nekoč doživel neko prijetno,PART VERB ADP DET NOUN ADV VERB DET X CCONJ ADV VERB ADP DET NOUN PART SCONJ PRON ADV PART VERB VERB VERB VERB CCONJ ADV VERB ADP PRON SCONJ AUX ADP PRON ADV VERB DET ADJ,37,1,0,ja,ja,PART,discourse,responsive,0,0,has_verbal_bc; not_all_in_lexicon,
Gos052,Gos052.s262,Gm-ucen-07063,topli .,https://nl.ijs.si/project/gos20/Gos052/Gos052.s262.mp3,topli,ADJ,Gos052.s263,Am-prof-07057,"ja , topel , ker se začne blizu ekvatorja in potem teče v višje geografske širine .",https://nl.ijs.si/project/gos20/Gos052/Gos052.s263.mp3,ja topel ker se začne blizu ekvatorja in potem teče v višje geografske širine,PART ADJ SCONJ PRON VERB ADP NOUN CCONJ ADV VERB ADP ADJ ADJ NOUN,14,0,0,ja,ja,PART,discourse,responsive,0,0,not_all_in_lexicon,
Gos072,Gos072.s221,Af-novi-03507,"samo gospod [name:surname] je bil neposredno izzvan , prosim lepo .",https://nl.ijs.si/project/gos20/Gos072/Gos072.s221.mp3,samo gospod [name:surname] je bil neposredno izzvan prosim lepo,PART NOUN PROPN AUX AUX ADV ADJ VERB ADV,Gos072.s222,Gm-gost-05581,"no , poglejte , eee , ni možno na vse odgovarjati , ker je bilo izrečeno veliko stvari , ki , eee , ne držijo , eee , jaz sem videl oziroma vidim veliko šaljivcev tukaj med nami .",https://nl.ijs.si/project/gos20/Gos072/Gos072.s222.mp3,no poglejte eee ni možno na vse odgovarjati ker je bilo izrečeno veliko stvari ki eee ne držijo eee jaz sem videl oziroma vidim veliko šaljivcev tukaj med nami,PART VERB INTJ AUX ADJ ADP DET VERB SCONJ AUX AUX ADJ DET NOUN SCONJ INTJ PART VERB INTJ PRON AUX VERB CCONJ VERB DET NOUN ADV ADP PRON,29,0,0,no,no,PART,discourse,surprise,0,0,not_all_in_lexicon,
Gos073,Gos073.s374,Hm-gost-03510,"samo takšni pomembni vsebinski problemi se ne re- , ne rešujejo na ta način , na takšno razpravo kot to .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s374.mp3,samo takšni pomembni vsebinski problemi se ne re- ne rešujejo na ta način na takšno razpravo kot to,PART DET ADJ ADJ NOUN PRON PART X PART VERB ADP DET NOUN ADP DET NOUN SCONJ DET,Gos073.s375,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s375.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
