doc,a_sent_id,a_speaker,a_text,a_sound_url,b_sent_id,b_speaker,b_text,b_sound_url,len,b_root_upos,b_root_form,orphan_tail,a_continues,a_is_question,b_first_token,b_starts_backchannel_like,b_has_question_mark,b_root_is_intj_part,is_coconstruction,coconstruct_deprel,governor_token_id,notes
Gos051,Gos051.s261,Af-prof-07124,"ja , govori o neki ženski , a je ta žens- , ampak kako govori o neki ženski , ne da jo zdaj , ne vem , opisuje , predstavlja , označuje , ampak kako govori o njej , da je z njo nekoč doživel neko prijetno",https://nl.ijs.si/project/gos20/Gos051/Gos051.s261.mp3,Gos051.s262,Pn-vsiucenci-10000,doživetje .,https://nl.ijs.si/project/gos20/Gos051/Gos051.s262.mp3,1,NOUN,doživetje,0,1,0,doživetje,0,0,0,,,,
Gos020,Gos020.s407,Mf-prof-01061,"se pravi , rezultat za Žide je bil , v katerem koli taborišču že so se znašli , isti",https://nl.ijs.si/project/gos20/Gos020/Gos020.s407.mp3,Gos020.s408,Jm-ucen-01064,slab .,https://nl.ijs.si/project/gos20/Gos020/Gos020.s408.mp3,1,ADJ,slab,0,1,0,slab,0,0,0,,,,
Gos021,Gos021.s149,Sf-prof-01049,"prej je bil moder , polovica je še vedno moder , ostala polovica pa je že",https://nl.ijs.si/project/gos20/Gos021/Gos021.s149.mp3,Gos021.s150,Pn-vsiucenci-10000,rdeča .,https://nl.ijs.si/project/gos20/Gos021/Gos021.s150.mp3,1,ADJ,rdeča,0,1,0,rdeča,0,0,0,,,,
Gos053,Gos053.s461,Af-prof-07037,"če atom odda elektrone , nastane",https://nl.ijs.si/project/gos20/Gos053/Gos053.s461.mp3,Gos053.s462,Dm-ucen-07041,kation .,https://nl.ijs.si/project/gos20/Gos053/Gos053.s462.mp3,1,NOUN,kation,0,1,0,kation,0,0,0,,,,
Gos159,Gos159.s627,Om-gost-06560,"pa daj , a kaj zdaj , a me boste še enkrat metali iz služ- , saj nimam službe sicer , ampak",https://nl.ijs.si/project/gos20/Gos159/Gos159.s627.mp3,Gos159.s628,Sm-novi-02049,ne .,https://nl.ijs.si/project/gos20/Gos159/Gos159.s628.mp3,1,PART,ne,0,0,0,ne,0,0,1,,,,
Gos183,Gos183.s456,Sm-prod-00803,"eee , če so pa patch varianta , ne , so pa",https://nl.ijs.si/project/gos20/Gos183/Gos183.s456.mp3,Gos183.s457,Gm-prod-00805,pogovor .,https://nl.ijs.si/project/gos20/Gos183/Gos183.s457.mp3,1,NOUN,pogovor,0,0,0,pogovor,0,0,0,,,,
Gos233,Gos233.s415,Tm-otro-03016,"saj veš , da , da , da , kdor ti bo reklamo poslal",https://nl.ijs.si/project/gos20/Gos233/Gos233.s415.mp3,Gos233.s417,Bm-star-03014,zaračuna .,https://nl.ijs.si/project/gos20/Gos233/Gos233.s417.mp3,1,VERB,zaračuna,0,1,0,zaračuna,0,0,0,,,,
Gos240,Gos240.s104,Pm-prij-09502,"pazim zdaj s- , zdaj pa spomladi pa sem rekel",https://nl.ijs.si/project/gos20/Gos240/Gos240.s104.mp3,Gos240.s105,Mm-prij-09501,zdajle .,https://nl.ijs.si/project/gos20/Gos240/Gos240.s105.mp3,1,ADV,zdajle,0,0,0,zdajle,0,0,0,,,,
Gos254,Gos254.s637,If-prij-06008,je,https://nl.ijs.si/project/gos20/Gos254/Gos254.s637.mp3,Gos254.s638,Dm-prij-06009,Tajvan .,https://nl.ijs.si/project/gos20/Gos254/Gos254.s638.mp3,1,PROPN,Tajvan,0,0,0,tajvan,0,0,0,,,,
Gos254,Gos254.s662,If-prij-06008,"aj , kaj so našli ovega , ka s- , eee , neke",https://nl.ijs.si/project/gos20/Gos254/Gos254.s662.mp3,Gos254.s663,Mm-prij-06007,celo ?,https://nl.ijs.si/project/gos20/Gos254/Gos254.s663.mp3,1,PART,celo,0,1,0,celo,0,1,1,,,,
